Name	Chr	Start	End	Strand
Rpl7a-ps3	chr15	36237857	36238722	-
Ankrd46	chr15	36407423	36426546	-
Snx31	chr15	36433817	36485328	-
Pabpc1	chr15	36525416	36538728	-
Ywhaz	chr15	36700525	36724302	-
AC138604.1	chr15	36728453	36728526	-
Gm10384	chr15	36800256	36809571	-
Zfp706	chr15	36926786	36937157	-
Gm16631	chr15	36937278	36973855	+
Gm16136	chr15	37161676	37163064	-
Grhl2	chr15	37162791	37293324	+
Gm16137	chr15	37172158	37172917	+
Gm16138	chr15	37261744	37262421	-
Ncald	chr15	37295930	37722325	-
AC121814.1	chr15	37301077	37301202	-
Gm15941	chr15	37350889	37363169	-
Gm8668	chr15	37351003	37352449	+
4930447A16Rik	chr15	37355309	37370399	+
Gm3267	chr15	37422511	37422983	+
U6atac	chr15	37533170	37533289	-
Gm15942	chr15	37630459	37650608	+
Gm15940	chr15	37692587	37695156	-
Rrm2b	chr15	37853707	37891073	-
Gm3362	chr15	37873082	37873547	-
Ubr5	chr15	37897083	38008608	-
SNORA2	chr15	37988040	37988175	+
Odf1	chr15	38148958	38156490	+
AC122459.1	chr15	38168327	38168435	+
Gm8705	chr15	38172915	38174731	-
Klf10	chr15	38221219	38230464	-
Gm17721	chr15	38314736	38316055	+
Azin1	chr15	38417185	38449021	-
Atp6v1c1	chr15	38591659	38622198	+
Gm17265	chr15	38656628	38837731	-
Baalc	chr15	38764688	38782810	+
Fzd6	chr15	38837879	38869732	+
SNORA17	chr15	38872125	38872255	+
Cthrc1	chr15	38908478	38918667	+
Slc25a32	chr15	38925737	38944262	-
Dcaf13	chr15	38944420	38978402	+
n-R5s39	chr15	38977926	38978033	-
Rims2	chr15	39029878	39513486	+
AC101886.1	chr15	39140016	39140124	-
Dcstamp	chr15	39577478	39592480	+
Dpys	chr15	39600031	39689016	-
Gm16291	chr15	39628591	39643923	+
Lrp12	chr15	39702149	39775540	-
AC152394.1	chr15	40017575	40017645	-
Gm16294	chr15	40342868	40358823	-
Zfpm2	chr15	40486588	40936138	+
4930555K19Rik	chr15	41005247	41005417	+
Oxr1	chr15	41279028	41692594	+
Gm16718	chr15	41589606	41620457	-
Abra	chr15	41696839	41701266	-
SNORA17	chr15	41780543	41780644	+
Angpt1	chr15	42256273	42508523	-
Gm17473	chr15	42507806	42536162	+
Rspo2	chr15	42852357	43002364	-
7SK	chr15	43056171	43056466	-
Eif3e	chr15	43081586	43114282	-
Gm10373	chr15	43262489	43308582	-
Ttc35	chr15	43308775	43359323	+
U7	chr15	43504110	43504173	+
Tmem74	chr15	43698241	43701575	-
Trhr	chr15	44027681	44067458	+
SNORA17	chr15	44177196	44177321	+
SNORA17	chr15	44195631	44195762	+
Nudcd1	chr15	44206773	44259853	-
Eny2	chr15	44259657	44269231	+
U6	chr15	44264141	44264247	+
Pkhd1l1	chr15	44289099	44428689	+
Ebag9	chr15	44451187	44472570	+
Sybu	chr15	44503405	44619609	-
2310069G16Rik	chr15	44619328	44637373	+
A930017M01Rik	chr15	44712926	44714601	+
A930017M01Rik	chr15	44715020	44715856	+
U6	chr15	44772088	44772181	+
SNORA48	chr15	44779650	44779792	+
Gm5471	chr15	44803340	44803681	-
Kcnv1	chr15	44937830	44946480	-
U6	chr15	45983244	45983350	-
AC124746.1	chr15	46266354	46266415	-
4930548G14Rik	chr15	46457002	46457319	+
U7	chr15	46775933	46775994	-
Csmd3	chr15	47412183	48623609	-
Gm16300	chr15	47531260	47535373	-
SNORA17	chr15	47632219	47632355	+
U2	chr15	48382854	48382986	+
U6	chr15	48738198	48738282	-
U7	chr15	48759624	48759685	+
U7	chr15	48759798	48759859	-
U6	chr15	49369741	49369846	+
Trps1	chr15	50486307	50721587	-
Mir1907	chr15	50720571	50720660	-
Eif3h	chr15	51618104	51697027	-
Utp23	chr15	51708975	51716160	+
Rad21	chr15	51794151	51823306	-
Aard	chr15	51871653	51877267	+
Slc30a8	chr15	52127108	52167353	+
Gm10020	chr15	52309169	52309783	-
U6	chr15	52328440	52328543	+
SNORA17	chr15	52331211	52331342	+
Med30	chr15	52544000	52561986	+
Ext1	chr15	52895593	53177714	-
Samd12	chr15	53293176	53734092	-
SNORA17	chr15	53444622	53444753	-
Gm7489	chr15	53716461	53718152	+
Tnfrsf11b	chr15	54082174	54110039	-
Gm5215	chr15	54143516	54143920	-
Colec10	chr15	54242329	54297913	+
Mal2	chr15	54402921	54434401	+
Nov	chr15	54577257	54585594	+
Enpp2	chr15	54670453	54751701	-
Gm16639	chr15	54784503	54796197	+
Taf2	chr15	54846684	54903707	-
Dscc1	chr15	54907654	54922046	-
Gm9920	chr15	54931472	54945232	-
Deptor	chr15	54943872	55090826	+
U7	chr15	55094097	55094158	-
Col14a1	chr15	55139305	55352358	+
Mrpl13	chr15	55365649	55389303	-
Mtbp	chr15	55388963	55457978	+
Sntb1	chr15	55470398	55738504	-
Has2	chr15	56497182	56526094	-
Has2as	chr15	56521499	56609954	+
U7	chr15	56899341	56899403	-
U6	chr15	57070562	57070668	-
Slc22a22	chr15	57075322	57309180	-
Zhx2	chr15	57526220	57671388	+
Zhx2	chr15	57526236	57671386	+
Gm16006	chr15	57539669	57540482	-
9330154K18Rik	chr15	57547633	57569377	-
RP24-356D22.1	chr15	57565016	57569377	-
Derl1	chr15	57701057	57723973	-
Wdr67	chr15	57743754	57801623	+
Fam83a	chr15	57816974	57842564	+
9130401M01Rik	chr15	57853831	57907980	-
SNORA2	chr15	57873071	57873206	-
Zhx1	chr15	57878558	57908096	-
Atad2	chr15	57925602	57966637	-
Wdyhv1	chr15	57972963	57990207	+
U7	chr15	57974763	57974824	-
SNORA11	chr15	57978171	57978297	+
Fbxo32	chr15	58011634	58046433	-
Gm15943	chr15	58046030	58155608	+
Klhl38	chr15	58146128	58155724	-
Anxa13	chr15	58173429	58197682	-
D15Ertd621e	chr15	58247023	58289356	+
Fer1l6	chr15	58341603	58595425	+
7SK	chr15	58397169	58397469	+
RP23-102L5.1	chr15	58612016	58613506	-
Tmem65	chr15	58613824	58655085	-
U1	chr15	58650878	58651033	-
Gm5959	chr15	58678133	58678876	-
Trmt12	chr15	58704204	58708336	+
Rnf139	chr15	58720784	58733945	+
Tatdn1	chr15	58721708	58765285	-
Ndufb9	chr15	58765365	58771044	+
Mtss1	chr15	58772799	58913581	-
Gm5045	chr15	59042458	59043338	+
Sqle	chr15	59146632	59162747	+
E430025E21Rik	chr15	59163553	59205722	-
Nsmce2	chr15	59205753	59433238	+
Trib1	chr15	59479905	59488105	+
Gm7713	chr15	59825985	59826383	-
4933412E24Rik	chr15	59846421	59848173	-
U6	chr15	59916343	59916449	+
SNORA17	chr15	60535547	60535678	-
Fam84b	chr15	60650551	60656635	-
9930014A18Rik	chr15	60654520	60663348	+
A1bg	chr15	60749144	60752825	-
SNORA42	chr15	61189426	61189559	-
Myc	chr15	61816946	61821929	+
Pvt1	chr15	61869542	62209651	+
H2afy3	chr15	62049096	62050958	-
AC134453.1	chr15	62484490	62484559	-
SNORA17	chr15	62624756	62624889	+
U7	chr15	63312769	63312831	-
Gsdmc	chr15	63607526	63640314	-
Gsdmc2	chr15	63655901	63667504	-
Gsdmcl1	chr15	63678864	63682497	+
Gsdmc3	chr15	63689826	63700852	-
Gsdmc4	chr15	63722820	63734491	-
Fam49b	chr15	63760652	63892010	-
U6	chr15	63857503	63857607	+
Asap1	chr15	63918419	64214481	-
RP23-133P6.2	chr15	63929879	63932448	+
Adcy8	chr15	64530604	64753858	-
Gm5046	chr15	64846718	64847029	+
U2	chr15	65526111	65526299	+
Efr3a	chr15	65618596	65705378	+
Gm20405	chr15	65689431	65689918	+
Oc90	chr15	65707615	65743959	-
Hhla1	chr15	65754005	65808366	-
Gm2991	chr15	65760016	65760495	-
Kcnq3	chr15	65826733	66117786	-
Lrrc6	chr15	66211420	66332472	-
Tmem71	chr15	66357774	66392608	-
Phf20l1	chr15	66409128	66473502	+
Tg	chr15	66502315	66682283	+
Gm17140	chr15	66570621	66575889	-
Sla	chr15	66612381	66663391	-
Wisp1	chr15	66722882	66754763	+
Ndrg1	chr15	66760883	66801202	-
Gm17035	chr15	66761169	66762669	+
Gm2895	chr15	66800885	66844601	+
U7	chr15	66853540	66853599	+
St3gal1	chr15	66934437	66945922	-
Zfat	chr15	67915328	68090418	-
Gm10240	chr15	68141381	68141863	+
Mir30b	chr15	68168977	68169072	-
Mir30d	chr15	68172545	68194738	-
Mir30d	chr15	68172770	68172851	-
U6	chr15	68501846	68501952	+
AC125541.1	chr15	68528631	68528718	-
Gm7125	chr15	68707220	68707492	+
Khdrbs3	chr15	68758850	68923942	+
SNORA17	chr15	69281445	69281576	-
U7	chr15	69284989	69285054	+
U7	chr15	69285215	69285271	+
U7	chr15	69285272	69285327	+
SNORA79	chr15	69516008	69516136	-
Fam135b	chr15	71276108	71558268	-
SNORA81	chr15	71624618	71624795	+
Col22a1	chr15	71626225	71864657	-
Gm16308	chr15	71640538	71644210	+
U6	chr15	72085780	72085886	-
U7	chr15	72321388	72321449	-
Kcnk9	chr15	72342549	72376709	-
Trappc9	chr15	72420051	72891634	-
Gm3150	chr15	72743784	72744235	+
Chrac1	chr15	72920822	72927984	+
Eif2c2	chr15	72926274	72927114	-
Eif2c2	chr15	72929022	73015270	-
Ptk2	chr15	73035535	73253621	-
Mir151	chr15	73085245	73085312	-
SNORA70	chr15	73180229	73180351	+
Gm10362	chr15	73258786	73259370	-
Dennd3	chr15	73342990	73402672	+
Slc45a4	chr15	73407854	73476192	-
Gpr20	chr15	73525034	73537935	-
Ptp4a3	chr15	73553575	73589196	+
U4	chr15	73559594	73559720	+
Gm628	chr15	73591840	73670129	-
Gm3244	chr15	73639937	73640326	-
Gm6569	chr15	73664991	73670338	+
Gm7935	chr15	73910438	73911986	-
Gm15387	chr15	73924116	73924763	-
Bai1	chr15	74346626	74419873	+
AC117657.1	chr15	74394251	74394345	+
1700016M24Rik	chr15	74436459	74466728	-
Arc	chr15	74499513	74503000	-
Jrk	chr15	74532842	74539965	-
4933427E11Rik	chr15	74539591	74540804	+
Psca	chr15	74545269	74547493	+
Lypd2	chr15	74549460	74564743	-
4930572J05Rik	chr15	74551664	74554803	+
Slurp1	chr15	74557074	74558456	-
2300005B03Rik	chr15	74573269	74577117	-
Lynx1	chr15	74578286	74583409	-
Ly6d	chr15	74592486	74593997	-
Gm17189	chr15	74614495	74631070	+
Ly6k	chr15	74627304	74630416	-
Gml	chr15	74643884	74649245	-
Hemt1	chr15	74649501	74654866	+
Cyp11b1	chr15	74665004	74672073	-
Cyp11b2	chr15	74681440	74686748	-
2010109I03Rik	chr15	74708766	74712134	-
Ly6e	chr15	74785481	74790335	+
Ly6i	chr15	74810242	74813860	-
Ly6a	chr15	74825308	74828064	-
Ly6c1	chr15	74875447	74879260	-
Ly6c2	chr15	74938590	74942114	-
Ly6g	chr15	74987123	74989169	+
BC025446	chr15	75047022	75053089	+
Gm10238	chr15	75066079	75069198	-
Ly6f	chr15	75098851	75102664	+
9030619P08Rik	chr15	75258037	75262259	-
RP23-138I21.1	chr15	75279887	75281836	+
Ly6h	chr15	75381698	75397685	-
Gpihbp1	chr15	75427088	75428642	+
Zfp41	chr15	75447109	75455730	+
Top1mt	chr15	75487465	75509230	-
Gm15945	chr15	75491837	75493959	+
Rhpn1	chr15	75534710	75544840	+
Mafa	chr15	75577273	75578352	-
Zc3h3	chr15	75584862	75672345	-
SNORA17	chr15	75590289	75590419	+
Gsdmd	chr15	75692769	75697834	+
Naprt1	chr15	75721394	75724911	-
Eef1d	chr15	75725226	75739986	-
Tigd5	chr15	75740221	75742136	+
Pycrl	chr15	75746893	75751990	-
Tsta3	chr15	75755114	75760160	-
Zfp623	chr15	75771382	75779807	+
Zfp707	chr15	75799553	75806298	+
2410075B13Rik	chr15	75810302	75812715	-
Mapk15	chr15	75824199	75829582	+
Fam83h	chr15	75831523	75844766	-
K230010J24Rik	chr15	75839499	75865669	+
U1	chr15	75866889	75867046	+
Scrib	chr15	75877588	75900214	-
Puf60	chr15	75900614	75911376	-
Nrbp2	chr15	75916025	75920443	-
BC024139	chr15	75949947	75957026	-
Plec	chr15	76001404	76063004	-
U6	chr15	76044531	76044635	-
Mir1942	chr15	76046041	76046103	-
Parp10	chr15	76061604	76073871	-
Grina	chr15	76077237	76080334	+
AC110211.1	chr15	76097565	76097849	-
Spatc1	chr15	76098519	76123002	+
Mir3079	chr15	76121309	76121398	-
Gm10345	chr15	76124864	76127326	+
Oplah	chr15	76127027	76158445	-
Exosc4	chr15	76157827	76161107	+
Gpaa1	chr15	76161661	76165337	+
Rps6-ps1	chr15	76168038	76168835	+
Cyc1	chr15	76173953	76176364	+
Sharpin	chr15	76177470	76181541	-
Maf1	chr15	76181724	76184810	+
Fam203a	chr15	76199328	76201833	+
Tssk5	chr15	76202388	76205368	-
Heatr7a	chr15	76210691	76283468	+
Bop1	chr15	76283426	76307699	-
Scx	chr15	76287868	76289898	+
Hsf1	chr15	76307865	76331402	+
Dgat1	chr15	76332445	76342381	-
Scrt1	chr15	76346633	76352559	-
Fbxl6	chr15	76366160	76369176	-
Slc52a2	chr15	76369373	76372560	+
Adck5	chr15	76406788	76426246	+
Cpsf1	chr15	76426239	76438021	-
Slc39a4	chr15	76442815	76447322	-
Vps28	chr15	76452518	76456457	-
Tonsl	chr15	76456432	76470388	-
Cyhr1	chr15	76473825	76490547	-
Kifc2	chr15	76490996	76498625	+
Foxh1	chr15	76498714	76500378	-
Ppp1r16a	chr15	76502045	76525349	+
Gpt	chr15	76527163	76530104	+
Mfsd3	chr15	76531972	76534669	+
Recql4	chr15	76533984	76540963	-
Lrrc14	chr15	76541053	76548129	+
Lrrc24	chr15	76545706	76552603	-
C030006K11Rik	chr15	76551896	76554275	-
Arhgap39	chr15	76554415	76648600	-
Gm17271	chr15	76627760	76628459	+
Zfp251	chr15	76682578	76701865	-
Zfp7	chr15	76709689	76722822	+
Commd5	chr15	76730340	76731735	+
Rpl8	chr15	76734501	76736748	+
Zfp647	chr15	76741281	76748440	-
1110038F14Rik	chr15	76778969	76781159	+
Mb	chr15	76845919	76881100	-
Apol6	chr15	76875159	76887537	+
U6	chr15	76898221	76898327	+
Rbfox2	chr15	76909420	77137483	-
1700109K24Rik	chr15	76914873	76926744	+
U1	chr15	77072836	77072981	-
Apol7a	chr15	77218647	77229540	-
RP23-89G22.3	chr15	77222132	77222811	-
Apol9a	chr15	77234220	77241483	-
Apol7b	chr15	77252640	77277922	-
4930571N24Rik	chr15	77258409	77292396	+
Gm6506	chr15	77273715	77274850	-
Apol10a	chr15	77307477	77321499	+
Apol11a	chr15	77338701	77347749	+
Apol7c	chr15	77355297	77363745	-
Apol10b	chr15	77414588	77426555	-
Gm8221	chr15	77452631	77456620	+
Apol11b	chr15	77464402	77473716	-
Apol7e	chr15	77529312	77549716	+
Apol9b	chr15	77559502	77566811	+
Apol8	chr15	77578229	77585678	-
Myh9	chr15	77591017	77672605	-
U6	chr15	77671087	77671186	-
Txn2	chr15	77745477	77759436	-
Foxred2	chr15	77770952	77787152	-
Eif3d	chr15	77789428	77801254	-
Gm17638	chr15	77792104	77797556	+
Cacng2	chr15	77822178	77950458	-
A730060N03Rik	chr15	77950136	77974572	+
Ift27	chr15	77989895	78004538	-
Pvalb	chr15	78021544	78036830	-
Ncf4	chr15	78075231	78093010	+
Csf2rb2	chr15	78112947	78136052	-
Csf2rb	chr15	78156420	78184277	+
Y_RNA	chr15	78199678	78199787	+
1700061J05Rik	chr15	78208830	78226342	-
Tst	chr15	78229695	78236289	-
Mpst	chr15	78237142	78244432	+
Kctd17	chr15	78258994	78269339	+
Tmprss6	chr15	78270098	78299064	-
Il2rb	chr15	78310983	78325496	-
C1qtnf6	chr15	78353776	78360055	-
Sstr3	chr15	78367445	78374775	-
Gm6723	chr15	78384832	78385278	-
Rac2	chr15	78389599	78403213	-
Cyth4	chr15	78427477	78452449	+
Elfn2	chr15	78500452	78548543	-
Mfng	chr15	78586312	78603905	-
Card10	chr15	78605568	78633472	-
Cdc42ep1	chr15	78673077	78681332	+
Lgals2	chr15	78681292	78685959	-
Gm17481	chr15	78693386	78697319	-
Gga1	chr15	78707620	78725015	+
Sh3bp1	chr15	78730097	78749462	+
1700027A07Rik	chr15	78742396	78744090	-
Pdxp	chr15	78744349	78749947	+
Lgals1	chr15	78757155	78760895	+
Nol12	chr15	78765363	78774064	+
Triobp	chr15	78778154	78836299	+
H1f0	chr15	78859152	78859689	+
Gcat	chr15	78861304	78873988	+
Ankrd54	chr15	78883524	78893323	-
Eif3l	chr15	78905653	78924830	+
AL589670.1	chr15	78925255	78925487	-
Micall1	chr15	78939413	78967328	+
1700088E04Rik	chr15	78965085	78971681	-
Polr2f	chr15	78971781	78982204	+
Sox10	chr15	78985343	78994920	-
Gm10863	chr15	78996471	79057954	+
Pick1	chr15	79059603	79087104	+
Slc16a8	chr15	79081444	79085191	-
Gm17209	chr15	79086004	79086522	+
Baiap2l2	chr15	79088625	79115967	-
Pla2g6	chr15	79116658	79158820	-
Gm20420	chr15	79144629	79145988	+
Maff	chr15	79177971	79189502	+
Tmem184b	chr15	79191114	79233733	-
Mir1943	chr15	79205658	79205730	-
Csnk1e	chr15	79248282	79274349	-
Gm16059	chr15	79257650	79262059	+
Kcnj4	chr15	79314148	79335671	-
Kdelr3	chr15	79346838	79358169	+
Ddx17	chr15	79358137	79377171	-
Dmc1	chr15	79391930	79435529	-
AC117806.1	chr15	79425098	79425223	-
4933432B09Rik	chr15	79440006	79489386	-
Cby1	chr15	79489657	79498090	+
Tomm22	chr15	79501291	79503292	+
Josd1	chr15	79504680	79518302	-
Gm17487	chr15	79519570	79522815	-
Gtpbp1	chr15	79521320	79551908	+
n-R5s40	chr15	79522932	79523055	+
Sun2	chr15	79554500	79572966	-
Gm16575	chr15	79570004	79572228	+
Gm16576	chr15	79573128	79587824	+
Dnalc4	chr15	79591883	79608279	-
Nptxr	chr15	79616783	79635196	-
Cbx6	chr15	79616783	79665118	-
Npcd	chr15	79620105	79664667	-
Apobec3	chr15	79722089	79746336	+
Cbx7	chr15	79746237	79801549	-
Pdgfb	chr15	79826330	79845238	-
Rpl3	chr15	79908211	79913836	-
Snord83b	chr15	79908928	79909021	-
snoU83B	chr15	79910681	79910773	-
U6	chr15	79918877	79918983	-
Syngr1	chr15	79921764	79949931	+
Tab1	chr15	79963584	79992131	+
Mgat3	chr15	80004151	80045949	+
Smcr7l	chr15	80064510	80083796	+
Atf4	chr15	80085614	80087970	+
Rps19bp1	chr15	80091044	80094736	-
Cacna1i	chr15	80117668	80228709	+
Enthd1	chr15	80282670	80390900	-
SNORA17	chr15	80288468	80288604	-
Grap2	chr15	80453935	80480989	+
Fam83f	chr15	80501783	80530850	+
Tnrc6b	chr15	80590016	80771516	+
Mir5113	chr15	80770469	80770550	+
Adsl	chr15	80778920	80801377	+
Gm6612	chr15	80782935	80783329	+
Sgsm3	chr15	80808195	80842719	+
Mkl1	chr15	80842711	81021187	-
U4	chr15	80870073	80870223	+
4930483J18Rik	chr15	81021204	81023193	+
Mchr1	chr15	81065929	81069393	+
Slc25a17	chr15	81149351	81191195	-
St13	chr15	81194099	81230507	-
Xpnpep3	chr15	81230568	81287237	+
Dnajb7	chr15	81237518	81238703	-
Gm17025	chr15	81245990	81249618	-
Rbx1	chr15	81296746	81306799	+
Gm5218	chr15	81329514	81329978	-
Ep300	chr15	81415781	81482507	+
AC160528.1	chr15	81416563	81416616	+
U6	chr15	81422523	81422629	+
L3mbtl2	chr15	81494319	81518745	+
Gm18284	chr15	81504685	81505308	-
Chadl	chr15	81508726	81527717	-
Rangap1	chr15	81534678	81560349	-
Zc3h7b	chr15	81575278	81626699	+
Gm17597	chr15	81631221	81633043	-
Tef	chr15	81632851	81657291	+
Gm8444	chr15	81673773	81674129	-
Tob2	chr15	81678700	81688756	-
Tob2	chr15	81688104	81689226	-
Phf5a	chr15	81695749	81702341	-
Aco2	chr15	81702739	81745563	+
Polr3h	chr15	81745460	81756643	-
Csdc2	chr15	81767189	81781371	+
Pmm1	chr15	81781538	81791360	-
Gm5805	chr15	81802804	81803322	+
1700029P11Rik	chr15	81810975	81811993	+
Xrcc6	chr15	81818265	81870515	+
Pppde2	chr15	81822953	81864292	-
